Date OWK
19790101 XXACD
19790102 NWACD
19790103 NWACD
19790104 NWACD
19790105 NWAAD
19790106 NWACD
19790107 NWAAD
19790108 SWAAW
19790109 SWCAW
19790110 SWACD
19790111 XXCCW
19790112 SWCCD
19790113 NWCCD
19790114 NWACD
19790115 NEACD
19790116 NEACD
19790117 SECCD
19790118 SEACD
19790119 SEACD
19790120 XXCCD
19790121 XXCCD
19790122 SWCCD
19790123 SWCAW
19790124 SWCCW
19790125 SWAAD
19790126 SWCAD
19790127 SWACW
19790128 SWCCW
19790129 SWACW
19790130 SWACD
19790131 NWACD
19790201 SWAAD
19790202 NWCCW
19790203 SWAAD
19790204 NWAAD
19790205 NWCAW
19790206 NWAAD
19790207 SWAAD
19790208 NWCCW
19790209 NWAAD
19790210 XXAAD
19790211 XXAAW
19790212 SWCCW
19790213 SWAAW
19790214 SWCAW
19790215 SECAW
19790216 SECCW
19790217 SECCW
19790218 SECCW
19790219 SECCW
19790220 SEAAD
19790221 SECAD
19790222 SWCCD
19790223 XXCAD
19790224 XXCCD
19790225 NEACD
19790226 XXAAD
19790227 XXAAD
19790228 SEACD
19790301 SWCCD
19790302 SWACW
19790303 NWAAW
19790304 NWAAW
19790305 SWAAD
19790306 SWAAD
19790307 SWAAW
19790308 NWACD
19790309 SWAAW
19790310 NWACD
19790311 SWCAW
19790312 SWCCW
19790313 NWCAW
19790314 SWCAW
19790315 SWCAW
19790316 SECAW
19790317 SWCCW
19790318 SWCAD
19790319 SWACD
19790320 SWCAW
19790321 SWCCW
19790322 SWACD
19790323 SWACD
19790324 NWAAD
19790325 SWAAW
19790326 SWCAW
19790327 SWAAW
19790328 SWCAW
19790329 XXCCW
19790330 XXCCW
19790331 NWACW
19790401 NWACD
19790402 SWAAD
19790403 SWCCD
19790404 SECCD
19790405 XXCCD
19790406 SECCD
19790407 XXCCD
19790408 XXAAD
19790409 XXAAD
19790410 SEAAD
19790411 SECAD
19790412 SEAAW
19790413 XXAAW
19790414 XXAAW
19790415 NWAAD
19790416 XXCAW
19790417 XXCAW
19790418 NEAAD
19790419 NWAAD
19790420 NWAAD
19790421 SWACW
19790422 SWACD
19790423 SWCAW
19790424 SWCCW
19790425 SWCCW
19790426 SWACD
19790427 XXCCD
19790428 SWACD
19790429 NWACD
19790430 SWCAD
19790501 SWACD
19790502 SWCCD
19790503 SWACD
19790504 SWCCD
19790505 SWACD
19790506 SWACD
19790507 SWACD
19790508 XXAAD
