id,datum_von,datum_bis,hoehe,lat,lon,name,bundesland,height_class
124,20060821,20220502,265,51.2388,11.577,"Bibra, Bad-Altenroda",Sachsen-Anhalt,Z2
131,20041101,20220503,296,51.0881,12.9326,Geringswalde-Altgerings,Sachsen,Z2
222,19911102,20220503,393,50.5908,12.7139,Aue,Sachsen,Z2
314,20030714,20220503,234,51.1604,14.5042,"Kubschuetz, Kr. Bautzen",Sachsen,Z2
445,20030528,20220503,85,51.8218,11.711,Bernburg/Saale (Nord),Sachsen-Anhalt,Z1
550,20020515,20220502,344,50.9041,11.7985,Bobeck,Thüringen,Z2
551,20060922,20220502,517,50.3887,11.9955,Weischlitz-Heinersgruen,Sachsen,Z3
633,20021128,20220502,126,51.4041,14.5681,Boxberg,Sachsen,Z1
721,20021121,20220502,101,51.5171,12.4362,Schoenwoelkau-Brinnis,Sachsen,Z1
753,20040501,20220502,305,50.87,11.5022,Bucha,Thüringen,Z2
815,20060921,20220502,162,51.5426,11.6947,Seegebiet Mansfelder La,Sachsen-Anhalt,Z1
840,19911108,20220502,895,50.4313,12.6114,Carlsfeld,Sachsen,Z3
853,19911107,20220502,416,50.7913,12.872,Chemnitz,Sachsen,Z2
991,20040913,20220502,359,50.9116,13.7087,Dippoldiswalde-Reinberg,Sachsen,Z2
1001,19911107,20220502,97,51.6451,13.5747,Doberlug-Kirchhain,Brandenburg,Z1
1048,19911122,20220502,228,51.1278,13.7543,Dresden-Klotzsche,Sachsen,Z2
1050,20050810,20220503,112,51.0221,13.847,Dresden-Hosterwitz,Sachsen,Z1
1067,20040504,20220502,95,51.9265,12.3852,Doeben,Sachsen-Anhalt,Z1
1166,20030319,20220502,107,51.4603,12.6687,Eilenburg,Sachsen,Z1
1207,20060301,20220503,558,50.2705,12.2742,"Elster, Bad-Sohl",Sachsen,Z3
1210,20060424,20220502,90,51.4505,13.5046,Elsterwerda,Brandenburg,Z1
1358,19911112,20220502,1213,50.4283,12.9536,Fichtelberg,Sachsen,Z3
1612,19911107,20220502,311,50.8812,12.1289,Gera-Leumnitz,Thüringen,Z2
1684,19911102,20220502,239,51.1621,14.9506,Goerlitz,Sachsen,Z2
1744,20040929,20220502,139,51.5718,14.4763,Graustein,Brandenburg,Z1
