id,von,bis,hoehe,breite,laenge,name,bundesland
3,19930429,20110331,202,50.7827,6.0941, Aachen,Nordrhein-Westfalen
20,20040813,20220502,432,48.9219,9.9129, Abtsgm�nd-Untergr�ninge,Baden-W�rttemberg
29,20020829,20220503,260,49.7175,10.9101, Adelsdorf (Kl�ranlage),Bayern
30,20060530,20061029,260,49.4064,9.3914, Adelsheim,Baden-W�rttemberg
44,20070209,20220503,44,52.9336,8.237, Gro�enkneten,Niedersachsen
46,20020925,20220503,325,48.945,12.4639, Aholfing,Bayern
47,20110417,20131127,338,49.4997,9.5439, Ahorn-Eubigheim,Baden-W�rttemberg
53,20050901,20220502,60,52.585,13.5634, Ahrensfelde,Brandenburg
71,20041021,20191231,759,48.2156,8.9784, Albstadt-Badkap,Baden-W�rttemberg
73,20070214,20220503,340,48.6159,13.0506, Aldersbach-Kriestorf,Bayern
78,20041011,20220502,65,52.4853,7.9126, Alfhausen,Niedersachsen
87,20050201,20220502,158,51.095,11.0479, Alperstedt,Th�ringen
91,20020820,20220503,300,50.7446,9.345, Alsfeld-Eifa,Hessen
96,20190410,20220502,50,52.9437,12.8518, Neuruppin-Alt Ruppin,Brandenburg
103,20021220,20220502,364,48.896,12.217, Hagelstadt,Bayern
118,20030227,20220502,388,49.4053,12.2852, Altendorf,Bayern
124,20060821,20220502,265,51.2388,11.577," Bibra, Bad-Altenroda",Sachsen-Anhalt
130,20040915,20220502,300,49.7283,9.7692, Altertheim-Oberalterthe,Bayern
131,20041101,20220503,296,51.0881,12.9326, Geringswalde-Altgerings,Sachsen
142,20051026,20220503,511,48.406,11.3117, Altom�nster-Maisbrunn,Bayern
146,20021221,20220503,730,47.7922,10.0988, Altusried-Muthmannshofe,Bayern
150,20050701,20220502,215,49.7273,8.1164, Alzey,Rheinland-Pfalz
151,20041124,20220502,382,49.4691,11.8546, Amberg-Unterammersricht,Bayern
152,20090617,20120111,57,53.1268,10.2184, Amelinghausen,Niedersachsen
154,20050113,20220503,516,48.0197,12.2925, Amerang-Pfaffing,Bayern
158,20020529,20220502,210,50.784,8.9545, Am�neburg-R�digheim,Hessen
161,20110901,20220502,75,50.4237,7.4202, Andernach,Rheinland-Pfalz
164,19911102,20220502,54,53.0316,13.9908, Angerm�nde,Brandenburg
167,20040901,20220503,11,53.8408,13.6854, Anklam,Mecklenburg-Vorpommern
183,19911102,20220503,42,54.6791,13.4344, Arkona,Mecklenburg-Vorpommern
191,20041104,20220503,217,49.9694,9.9114, Arnstein-M�desheim,Bayern
194,20041018,20220502,265,51.3431,9.0763," Arolsen-Landau, Bad",Hessen
198,19911108,20220502,164,51.3744,11.292, Artern,Th�ringen
200,20020925,20220502,517,50.085,6.3161, Lauperath-Scheidchen,Rheinland-Pfalz
205,20021114,20220502,681,47.7275,12.2982, Aschau-Stein,Bayern
